year,variable,hour,n,mean_error,std_error,mae,rmse,min_error,max_error,p50,p75,p90,p95,p99
2015,solar,0,365,4.291636986301369,85.3973310081306,4.6471849315068505,85.38818583377255,-0.4024999999999999,1631.335,-0.1675,-0.13,-0.1025,-0.0875,-0.0725
2015,solar,1,365,4.299123287671232,85.6064922832117,4.6615753424657544,85.59717272148045,-0.435,1635.3275,-0.165,-0.13,-0.1025,-0.09049999999999997,-0.07659999999999996
2015,solar,2,365,4.310993150684932,85.8163390433079,4.6716780821917805,85.80706351873899,-0.4175,1639.3375,-0.16,-0.1275,-0.1025,-0.0925,-0.07909999999999996
2015,solar,3,365,4.3189315068493155,86.02573386337912,4.685643835616438,86.01630609331208,-0.41,1643.335,-0.17,-0.1325,-0.1075,-0.0975,-0.0775
2015,solar,4,365,4.311479452054796,86.23163143173166,4.718027397260274,86.2212897224584,-0.71,1647.25,-0.195,-0.145,-0.12099999999999994,-0.10499999999999991,0.08710000000000062
2015,solar,5,365,10.991054794520547,86.93822755253517,11.62227397260274,87.51200572723785,-28.76750000000004,1642.8625,-0.18,5.6025,26.526500000000002,40.72600000000007,70.90690000000018
2015,solar,6,365,27.248753424657533,102.13385169341072,41.624273972602744,105.57101522668592,-207.605,1346.5375,0.0924999999999999,34.2475,76.91299999999994,178.30049999999997,369.18800000000005
2015,solar,7,365,115.99949315068494,239.0382107392534,159.25228767123286,265.4027179021779,-726.6599999999999,1147.4624999999996,45.50499999999988,183.13500000000025,399.8735,606.0455000000003,940.3294000000027
2015,solar,8,365,148.69372602739728,510.6497806250628,359.8055479452055,531.1860341636892,-1852.67,1874.4049999999995,61.64750000000003,358.5300000000002,806.9120000000011,1096.5095000000003,1677.787100000002
2015,solar,9,365,61.751739726027395,911.0104501123437,684.9030821917809,911.8549825732888,-3232.045,3379.324999999999,26.920000000000073,515.2250000000004,1256.8255000000013,1677.859,2312.0247000000018
2015,solar,10,365,68.6938082191781,1277.8176455983153,959.8898356164384,1277.9136515799696,-4444.135,4386.4625000000015,42.67250000000058,769.8925000000004,1570.8865000000014,2367.754999999999,3343.1845000000035
