variable,hour,mean_error,std_error,p50,p90,p95,p99
load,0,-1263.9308689351114,1905.0217507881673,-1203.6377707045465,1044.4937090909104,1686.3572499999996,2938.6716454545476
load,1,-1235.5181965365052,1903.5146911953461,-1138.0568181818185,1049.2756772727269,1696.6701727272732,3033.788030909094
load,2,-1188.8395314461584,1897.7184808854538,-1108.1469545454559,1090.5402045454541,1738.2850636363646,3013.301795000005
load,3,-1169.5665161417053,1884.1721783469118,-1090.0899845000006,1118.2085933272722,1712.1455863636363,2936.7871145454565
load,4,-1145.3954246948533,1878.4626532603447,-1066.7320454545459,1182.0500454545459,1777.4669181818185,2897.575287727274
load,5,-1271.2326450137343,1918.6882336596364,-1231.3268181818175,1122.1738727272727,1801.8742409090917,2929.758896395458
load,6,-1542.4157248545014,2166.167454050981,-1537.8075681818182,1104.8968636363647,1877.171693181819,3789.8395745445496
load,7,-1611.1314436729742,2361.5577896253203,-1590.2208181818169,1193.2175545454559,1991.467794436365,4386.301803026371
load,8,-1625.6460195725829,2363.0517813653587,-1563.748931818183,1143.8438727272724,1977.2082532727277,4255.854738636371
load,9,-1430.4119274167015,2269.146840011217,-1369.095659090909,1217.440295454546,2036.7513272727288,3871.618968996368
load,10,-1230.793701538646,2299.273324454599,-1164.240454545454,1504.7608045454558,2319.29998901818,3943.8713431818205
load,11,-1037.1378369238685,2337.593192514739,-964.1964057045436,1835.3526181818174,2610.335412204546,4242.729096363642
load,12,-922.24846892843,2371.5013444550686,-844.4959318181805,1955.983022727272,2778.6640113636354,4466.6073681818225
load,13,-863.5588902045151,2417.3017998195387,-778.4672727272723,2059.2535681818185,2921.708193181819,4576.814957272735
load,14,-917.2516683249286,2430.738799927617,-865.612500000001,2042.6975500000017,2878.841347727275,4534.805694545457
load,15,-988.6418687071167,2428.437030031228,-894.3737500000042,1938.9465318181828,2738.272700000001,4344.679983181821
load,16,-1171.907797529832,2446.433664413354,-1021.0838863636371,1723.478159090908,2480.2384613636364,3994.1205559090954
load,17,-1510.006358249677,2429.758793177245,-1351.7520681818185,1402.1376590909115,2122.4967659090935,3589.1410163636397
load,18,-1664.7357812350185,2295.834187185394,-1547.1470909090872,1096.5734328181834,1786.4546093636375,3220.3457559090966
load,19,-1693.4093829996973,2213.440004375984,-1603.3400454545474,1019.6514590909087,1717.2060727272742,3008.5471518181857
load,20,-1647.3227196273504,2103.199484141172,-1574.0767976136353,916.7694045454562,1580.4843090909103,2815.8130518200023
load,21,-1572.727545464413,2011.95143340098,-1499.487295454547,908.8286818181815,1535.6907545454553,2782.865755560003
load,22,-1409.0905647128784,1993.504224214011,-1345.4617954545442,1092.099072727274,1643.7027363636344,2843.835481363638
load,23,-1346.6441664542601,1976.261233662442,-1291.9553522727279,1114.2495227272734,1706.7806777999992,2821.731570000001
solar,0,-2.3077853720719435,10.11276441337197,-1.9472727272727275,-1.2882045454545454,-1.198147727272727,-1.049715836363636
solar,1,-2.1392625963810574,9.980551170049388,-1.8302272727272728,-1.2582045454545454,-1.171822727272727,-1.0352170981818178
solar,2,-2.079218157375688,9.97615556356408,-1.7442045454545456,-1.2460653818181817,-1.1572545454545453,-1.0161148945454543
solar,3,-2.0417318941986675,9.935582826667272,-1.7399741818181818,-1.2387727272727274,-1.154392636363636,-1.0222186254545451
solar,4,-2.2604760373170283,10.29987058430146,-1.9445906363636363,-1.1627630181818178,-0.9989772727272727,-0.35622727272726135
solar,5,1.498103291864524,27.98986929781898,-2.111575,25.042886363636367,37.766372727272746,62.24900863636369
solar,6,8.764090961086502,90.29775804578617,-1.5299999999999998,92.64998232727275,156.50544772727278,281.77203818181846
solar,7,58.456145439058446,269.011041314636,19.97704545454546,340.28052580000025,515.893675,890.7152495818191
solar,8,128.1345639103097,600.5002140746578,112.51163381818175,805.2022000000004,1102.8887613636364,1752.1072575036378
solar,9,80.31989484613503,1017.6011404732488,98.29284090909094,1255.8129295000006,1696.8991479090912,2624.8552820309114
solar,10,-1.2694943260451055,1372.5208286696109,-4.824466727273332,1663.1862947909096,2253.9054147000006,3392.113541967276
solar,11,-1.3642434462997322,1610.588592083374,-31.613080181818283,1966.1110758818186,2650.438061872728,4131.359963658183
solar,12,57.678024820582664,1690.9834535867171,9.58681818181801,2134.161031145455,2853.704001418182,4395.1091724636435
solar,13,107.91883078710094,1639.6716303853025,69.57920454545452,2104.5058931636377,2811.123773527273,4267.29331136364
solar,14,102.63959267431493,1489.404619829393,109.75590909090879,1894.8832630363636,2490.8036112181826,3733.600297727277
solar,15,59.74832272192935,1276.9475332954598,129.79409090909073,1525.1683423272727,2101.3545052363643,3250.5330465890947
